dataset_type,density,model,noise_level,method,mse,chamfer_distance,max_error,mean_error,normal_consistency,density_ratio
synthetic,D01,sphere,L02,Weighted multi projection,3.113802003281898e-05,0.0052111212904788155,0.009526279441628767,0.00558014516234291,0.9903195932062127,0.7001825120292019
synthetic,D01,sphere,L03,Noisy,5.415892486109187e-05,0.006605147741120616,0.012557368354874336,0.007359274751026209,0.9906300082740771,0.5033349925335988
synthetic,D01,sphere,L03,Bilateral,4.149960338752895e-05,0.005366519435716524,0.014487993144583336,0.006442018580191224,0.9915083574710511,0.5033349925335988
synthetic,D01,sphere,L03,Guided Filter,5.415892486109187e-05,0.006605147741120616,0.012557368354874336,0.007359274751026209,0.9906300082740771,0.5033349925335988
synthetic,D01,sphere,L03,bipartite_graph_denoising,7.987305766956765e-05,0.006703082452417762,0.02133699054811116,0.008937172800699764,0.9905431884054782,0.5033349925335988
synthetic,D01,sphere,L03,Weighted multi projection,5.415892486109187e-05,0.006605147741120616,0.012557368354874336,0.007359274751026209,0.9906300082740771,0.5033349925335988
synthetic,D01,sphere,L04,Noisy,0.00010371138253489353,0.00876766647346718,0.017320508075688783,0.010183878560494205,0.9901024924092223,0.29789281566285053
synthetic,D01,sphere,L04,Bilateral,7.678192155954726e-05,0.0064016677627678105,0.020299883927691845,0.00876252940420443,0.9912057610403309,0.29789281566285053
synthetic,D01,sphere,L04,Guided Filter,0.00010371138253489353,0.00876766647346718,0.017320508075688783,0.010183878560494205,0.9901024924092223,0.29789281566285053
synthetic,D01,sphere,L04,bipartite_graph_denoising,0.00013627807808941388,0.008149439954340951,0.027422938603322764,0.011673820201177243,0.9900302347573506,0.29789281566285053
synthetic,D01,sphere,L04,Weighted multi projection,0.00010371138253489353,0.00876766647346718,0.017320508075688783,0.010183878560494205,0.9901024924092223,0.29789281566285053
synthetic,D01,vase,L01,Noisy,1.1485998520903918e-05,0.00319912815406533,0.005888972745734183,0.0033890999573491366,0.9972471903319271,0.9009494197990117
synthetic,D01,vase,L01,Bilateral,1.026685301464254e-05,0.002839921156424795,0.01125863631096205,0.0032041930364200186,0.997352952207643,0.9009494197990117
synthetic,D01,vase,L01,Guided Filter,2.1278876954817366e-05,0.0035000128068290127,0.013068937254440395,0.00461290331080301,0.9962749827109569,0.9009494197990117
synthetic,D01,vase,L01,bipartite_graph_denoising,2.145861662649023e-05,0.0037373900065300362,0.010951916326734408,0.0046323446143923955,0.9960683452357665,0.9009494197990117
synthetic,D01,vase,L01,Weighted multi projection,2.1278876954817366e-05,0.0035000128068290127,0.013068937254440395,0.00461290331080301,0.9962749827109569,0.9009494197990117
synthetic,D01,vase,L02,Noisy,1.9365715693742817e-05,0.00403695241620372,0.007621023553303029,0.004400649462720567,0.9951266203688881,0.7000444173005386
synthetic,D01,vase,L02,Bilateral,1.651180558344575e-05,0.003389259925876059,0.014881167396919723,0.004063472109347589,0.9946099347563805,0.7000444173005386
synthetic,D01,vase,L02,Guided Filter,2.5508507199828788e-05,0.003908466682132129,0.013355807355807749,0.005050594737239248,0.9947306962226378,0.7000444173005386
synthetic,D01,vase,L02,bipartite_graph_denoising,2.9961658420597147e-05,0.004220430303641365,0.012932412776462534,0.005473724364689654,0.9944411321966877,0.7000444173005386
synthetic,D01,vase,L02,Weighted multi projection,2.5508507199828788e-05,0.003908466682132129,0.013355807355807749,0.005050594737239248,0.9947306962226378,0.7000444173005386
synthetic,D01,vase,L03,Noisy,3.093593693631651e-05,0.004963518516106525,0.009612881982007267,0.0055620083545709015,0.9915694015352579,0.4986674809838432
synthetic,D01,vase,L03,Bilateral,2.551725352155926e-05,0.003982556456438021,0.0179630011349014,0.005051460533505063,0.9913969465615283,0.4986674809838432
synthetic,D01,vase,L03,Guided Filter,3.093593693631651e-05,0.004963518516106525,0.009612881982007267,0.0055620083545709015,0.9915694015352579,0.4986674809838432
